clientId,INC,ApnaDal,SP,RLD,BJP,BSP
3457c377-637e-432a-8117-4bdb91b242ab,Very far,Very far,Very far,Very far,Very inclined,Very far
eee371a4-0ffc-470c-9e04-bd2feba1ab07,Very far,Very far,Very inclined,Very far,Far,Very far
81f2edf7-3e79-462c-8bcd-38bc91d7695e,Very far,Very far,Very inclined,Very far,Very far,Very far
74abd9ab-febb-4773-a655-ff22442783c7,Very far,Far,Far,Far,Very inclined,Far
d183ce61-e741-4774-b865-08a858f857b2,Very far,Very far,Inclined,Very far,Very inclined,Very far
b1f939e1-8f37-496f-9e75-031099c5a3f9,Far,Very inclined,Very far,Very far,Very inclined,Very far
99696b54-07aa-4828-b600-81979cab7cae,Very far,Very far,Very far,Very far,Very inclined,Very far
8a9e9e17-2702-4df8-a08d-fc8bd8b0f61a,Very inclined,Very inclined,Very inclined,Very inclined,Very far,Very inclined
5f5824a0-4fe1-470e-bcfe-f6c35de7c6c9,Very far,Very far,Very far,Very far,Very inclined,Very far
7ecf50ef-27bb-41ac-9ae6-0c3cb8661a9d,Very far,Very far,Very far,Very far,Very inclined,Very far
a0553f94-34d8-4feb-92d7-79ba3b7ba466,Very far,Very inclined,Very far,Very far,Very inclined,Very far
5c2a3daa-4d35-4a20-925c-fd098cd7e17d,Inclined,Very far,Very inclined,Very far,Far,Very far
4fccc9c2-48a9-4600-9310-2ba630f51bb9,Very far,Very far,Far,Very far,Inclined,Very far
0dfb0530-9594-4b30-9aa8-b49e6e99ce44,Very far,Very far,Very far,Very far,Inclined,Very far
7486253d-7441-4bd8-8bd5-df8c2e7bb4ee,Far,Far,Inclined,Far,Inclined,Inclined
